
sample	lnL(posterior)	lnL(seq)	lnL(times)	lnL(rates)	birth	death	clock	root	tstv	nu	rr0	rr1	rr2	pr0	pr1	pr2	t(calib:CAL1_clade:CLADE1)	t(calib:CAL1_clade:CLADE2)	t(calib:CAL2_clade:CLADE3)	clade(calib:CAL1)	clade(calib:CAL2)	br0	br1	br2	br3	br4	br5	br6	br7	br8	br9	br10	br11	br12	br13	br14	br15	br16	br17	br18	br19	br20	br21	br22	br23	br24	br25	br26	br27	br28	br29	br30	br31	br32	br33	br34	br35	br36	br37	br38	br39	br40	br41	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	accRT	tuneRT	accT	tuneT	accClock	tuneClock	accTCr	tuneTCr	accTreeRates	tuneTreeRates	accSprW	tuneSprW	accSpr	tuneSpr	accSprLoc	tuneSprLoc	
     0	-165248.6	 -32982.3	    -88.5	-132177.8	   0.0302625	   0.0227513	 0.000647547	    -678.223	           4	         0.1	0.176612	1.94273	5.29836	0.678699	0.245032	0.0762695	-335.926	-50.8265	-452.148	CLADE1	CLADE3	3.11153	9.03574	5.43605	0.536999	12.4696	10.3751	2.26957	3.43342	10.7515	6.8749	10.9008	8.14782	1.67675	1.40428	3.13669	17.8453	2.99666	2.15352	1.84612	5.862	20.136	2.32363	9.61087	13.2395	8.9872	3.04229	10.2467	0.48105	12.4498	3.70553	4.50999	2.44948	0.715052	5.00471	2.19746	11.353	1.21862	6.96055	2.79609	23.1749	3.23572	14.143	-8.75452	-20.2883	-45.2572	-50.8265	-55.9486	-78.9294	-83.8079	-86.6422	-101.369	-115.14	-118.16	-119.752	-128.486	-147.104	-149.717	-164.602	-170.183	-183.954	-335.926	-452.148	-678.223	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
   100	 -50971.1	 -28205.1	    -98.2	 -22667.9	   0.0280067	   0.0210554	 0.000362068	    -498.242	           4	    0.108712	0.00190852	0.716007	7.14306	0.678699	0.201705	0.119596	-277.591	-454.867	-498.242	CLADE1	CLADE3	2.06517	6.25375	2.41766	0.416313	6.5747	9.46827	2.01234	3.13992	5.25274	3.98396	6.46404	5.31194	1.8606	0.24908	2.92562	6.78838	1.98014	0.864526	1.27358	3.21147	16.9073	1.70397	0.954879	1.99777	1.83399	3.13961	1.09244	1.54905	0.299749	1.25664	1.14541	2.04738	0.24847	1.04713	0.0713294	0.267776	1.25894	2.64015	0.662567	1.55816	2.45954	3.93702	-104.325	-45.6768	-87.4783	-454.867	-78.5126	-130.685	-84.7331	-277.591	-100.909	-123.719	-132.063	-158.794	-166.983	-177.526	-172.696	-188.487	-222.207	-236.004	-313.777	-198.533	-498.242	0	1	0	1	0.39604	1.5	0	1	0	1	0	1	0	1	0	1	
   200	 -29395.2	 -27118.8	    -84.2	  -2192.1	   0.0223617	   0.0146928	 0.000522096	    -339.208	     6.26693	    0.108712	0.00129409	0.70837	4.84343	0.59197	0.236279	0.171751	-183.658	-118.318	-339.208	CLADE2	CLADE3	1.01871	2.53068	1.06746	0.455336	1.96254	4.01604	1.07441	0.868455	2.1699	1.17666	1.97547	1.47384	1.2446	0.121218	1.20231	2.86691	1.21737	0.514825	0.816346	1.31798	6.35702	0.520222	0.747516	0.705262	0.910384	0.927432	0.769132	0.548212	0.289475	1.2878	1.44715	1.0184	0.607127	0.937334	0.896455	1.58774	0.725994	1.21468	0.893966	1.64764	1.50197	2.26768	-51.7467	-42.537	-86.782	-292.494	-57.8787	-141.071	-87.8526	-194.475	-120.199	-120.847	-125.342	-186.574	-91.6928	-100.433	-90.0588	-126.547	-183.658	-118.318	-213.546	-111.28	-339.208	0	1	0	1	0.39604	1.5	0	1	0	1	0.0673077	0.666667	0	1	0	1	
   300	 -26447.3	 -26082.6	    -74.8	   -289.9	  0.00860722	  0.00538863	 0.000592333	     -305.19	     6.26693	    0.120009	0.00199125	0.708078	4.84142	0.59197	0.236279	0.171751	-105.912	-54.2797	-305.19	CLADE2	CLADE3	0.758925	1.01932	0.541569	0.539444	0.663995	1.69146	0.405566	0.574306	0.790072	0.857845	0.973245	0.996867	0.894332	0.185869	0.801985	1.19418	0.904157	0.84804	0.544895	0.749139	3.3131	0.599906	0.798345	0.652309	1.13382	1.14462	0.631274	1.01866	0.64049	0.462142	0.74208	1.14643	0.683904	0.672621	1.16832	0.72921	0.866474	0.981983	0.639427	0.860988	0.722439	1.41436	-69.5982	-48.0082	-172.106	-284.544	-61.0953	-80.9884	-75.4745	-50.5027	-167.383	-78.392	-124.495	-105.912	-77.2952	-84.1385	-71.8877	-122.245	-105.985	-54.2797	-181.755	-94.4908	-305.19	0	1	0	1	0.39604	1.5	0	1	0	1	0.0961539	0.444444	0.192308	0.666667	0.211538	0.666667	
   400	 -25361.1	 -25250.0	    -76.6	    -34.5	   0.0135473	  0.00380302	 0.000483049	    -320.824	     6.50783	    0.249738	0.00429626	0.885104	6.05183	0.579792	0.299129	0.121079	-160.766	-57.5741	-320.824	CLADE2	CLADE3	0.758925	0.849925	0.810973	0.893974	0.675333	2.11511	0.408618	1.20026	1.24331	0.86454	1.34226	0.972362	1.23699	1.24814	1.14593	0.527552	1.11993	1.89779	1.04161	1.10463	2.22559	0.698192	0.999456	0.87751	1.42295	0.610196	1.03584	1.0264	0.497569	0.641924	0.970955	1.38237	1.36387	0.816056	1.14549	0.47761	0.706763	0.79298	0.858055	1.08201	1.62698	1.12958	-74.3984	-52.3816	-253.997	-319.242	-86.0873	-71.1128	-69.8491	-36.9701	-188.75	-84.3931	-133.081	-160.766	-82.6263	-90.9164	-55.5057	-130.677	-114.723	-57.5741	-194.29	-78.3622	-320.824	0	1	0	1	0.39604	1.5	0	1	0	1	0.0961539	0.444444	0.192308	0.666667	0.211538	0.666667	
   500	 -24553.5	 -24460.0	    -75.4	    -18.1	   0.0103819	  0.00228484	 0.000446965	    -381.451	     5.95746	    0.359858	0.00344435	0.709596	4.85181	0.561983	0.272103	0.165914	-130.728	-71.7174	-381.451	CLADE2	CLADE3	0.913861	1.02344	0.698671	0.781514	0.553302	1.63361	0.221565	0.92935	0.96268	1.0444	1.46832	0.843604	1.76935	1.08287	0.931777	0.477132	1.48569	1.63499	0.552746	0.723178	0.877248	0.545894	0.841355	0.716743	1.02997	1.07887	0.915478	0.975368	0.569068	0.723724	1.32765	1.44996	1.44628	0.306399	0.992302	0.731726	1.00322	0.978558	0.701233	0.759928	1.50066	0.384313	-96.3316	-78.9432	-332.277	-43.6529	-96.6535	-84.5942	-86.5328	-67.3871	-217.026	-94.4728	-150.194	-130.728	-48.4175	-113.225	-69.3395	-129.779	-114.99	-71.7174	-238.614	-58.1268	-381.451	0	1	0	1	0.39604	1.5	0	1	0	1	0.0769231	0.296296	0.0576923	0.444444	0.211538	0.666667	
   600	 -24457.5	 -24361.6	    -73.4	    -22.5	    0.012163	  0.00215461	 0.000446425	    -343.438	     5.95746	    0.358567	0.00344435	0.709596	4.85181	0.561983	0.272103	0.165914	-146.068	-60.2796	-343.438	CLADE2	CLADE3	0.914733	1.02441	0.8201	0.771229	1.07578	1.51057	0.269209	0.890797	1.17332	1.14812	1.61415	0.990865	1.82837	1.27189	0.878488	0.469386	1.06222	1.16896	0.960449	1.11123	1.06589	0.829284	1.27642	1.50667	0.679458	0.944617	0.37635	1.10776	1.06818	0.885692	1.23487	0.141545	1.43532	0.477889	1.48851	0.20796	0.812833	0.719657	0.0745865	0.382233	1.20627	1.36364	-104.255	-92.8416	-226.347	-37.3118	-80.4388	-88.0325	-94.1735	-37.6038	-215.258	-97.8412	-147.157	-146.068	-70.3299	-76.277	-75.1283	-105.743	-63.8013	-60.2796	-203.399	-60.3094	-343.438	0	1	0	1	0.39604	1.5	0	1	0	1	0.0192308	0.197531	0.0576923	0.444444	0.211538	0.666667	
   700	 -24103.6	 -23996.3	    -79.0	    -28.3	   0.0069309	  0.00330891	 0.000347621	    -490.137	     5.95746	    0.356594	0.00331656	0.648405	4.67179	0.519191	0.310177	0.170632	-151.638	-89.1733	-490.137	CLADE2	CLADE3	0.695638	0.969681	0.925396	1.4474	0.723661	0.428468	0.918756	0.776392	1.16946	0.936771	1.12454	0.637039	1.42053	1.10936	0.975999	0.473963	1.01376	1.49292	0.518545	0.710181	1.00538	0.70917	2.09371	0.604447	0.458353	1.25166	0.472403	1.53365	1.49476	0.941998	0.929956	1.06771	0.719371	0.224226	1.48315	0.201384	1.86612	1.76162	0.632513	1.63854	0.355907	1.07051	-122.903	-116.811	-193.113	-47.3039	-86.6285	-101.527	-92.8491	-78.2672	-345.943	-114.386	-160.17	-151.638	-85.2908	-104.231	-100.728	-149.862	-125.665	-89.1733	-305.778	-54.3695	-490.137	0.455446	1.5	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.131687	0.0288462	0.296296	0.0480769	0.444444	
   800	 -24098.7	 -23995.6	    -74.7	    -28.4	   0.0109391	  0.00495608	 0.000418539	    -371.598	     6.28447	    0.379134	0.00331656	0.648405	4.67179	0.519191	0.310177	0.170632	-145.669	-75.4698	-371.598	CLADE1	CLADE3	0.452361	0.724846	0.75753	1.17517	2.03312	0.78524	0.548382	0.958412	1.44363	0.98165	1.11767	0.517718	1.67577	0.901568	0.841838	0.51045	1.01165	1.48981	0.698812	0.97162	0.815994	0.714879	0.759636	0.457515	0.565071	1.31532	1.83155	0.917619	0.852227	0.457882	0.782457	0.612316	2.01948	0.388237	1.84796	0.28636	0.997604	0.159348	1.09612	1.15413	0.587766	1.17335	-98.9446	-91.2324	-168.94	-52.2286	-87.5132	-99.0098	-27.7987	-48.1201	-241.008	-91.534	-185.345	-145.669	-71.8922	-99.694	-68.6361	-111.912	-130.066	-75.4698	-220.551	-61.1805	-371.598	0.455446	1.5	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.131687	0.0288462	0.296296	0.0480769	0.444444	
   900	 -24077.2	 -23980.2	    -73.2	    -23.8	   0.0102629	  0.00526706	 0.000442555	    -334.735	     6.28447	    0.423887	0.00331656	0.648405	4.67179	0.519191	0.310177	0.170632	-144.296	-87.2176	-334.735	CLADE1	CLADE3	0.632601	1.01366	0.713935	0.966037	1.18103	0.456142	0.353075	0.901785	1.35833	0.992247	1.12973	0.93278	1.94127	1.62437	0.837295	0.499598	1.03299	1.52123	1.06623	1.48248	0.995687	0.903129	1.53253	0.510466	0.842379	0.788254	0.160616	0.980259	1.30062	0.49846	0.990125	0.876246	1.39854	0.470261	1.68837	0.219595	1.31168	0.372419	0.239698	1.10267	0.485142	0.759481	-97.0842	-72.2154	-237.554	-42.8028	-92.8769	-99.5469	-47.855	-31.538	-214.767	-91.9057	-134.39	-144.296	-60.7752	-81.4638	-75.6557	-103.934	-72.1898	-87.2176	-191.317	-43.7489	-334.735	0.455446	1.5	0	1	0.39604	1.5	0	1	0	1	9.61538E-09	0.0877915	0.0288462	0.296296	9.61538E-09	0.296296	
